VP,radix,polarity
소년미 가득한,None,1
풍부하고 다양한,None,1
막강하,None,1
예의바른,None,1
더욱 빛내고,None,1
여유있는,None,1
어쿠스틱한,None,1
에너제틱하고 파워풀하,None,1
한층 강렬해진,None,1
너무 어마어마한,None,1
한참 웃도는,None,1
세련되고 모던한,None,1
상호보완하는,None,1
갈수록 예뻐져,None,1
멋지고 달콤한,None,1
가장 빛나,None,1
모두 사로잡은,None,1
귀엽고 멋있,None,1
과시했던,None,1
손꼽을,None,1
한결 성숙해진,None,1
트렌디하고 내추럴한,None,1
기품있는,None,1
앙증맞,None,1
뜨겁게 호응했,None,1
매일 신선한,None,1
모두 완벽하다,None,1
감미로우,None,1
스타일리쉬한,None,1
적극적으로 어필하는,None,1
달콤했던,None,1
모두 특별한,None,1
더욱 멋있는,None,1
재조명하,None,1
잘생기고 귀엽,None,1
다채롭고 풍성한,None,1
급성장하는,None,1
래퍼다운,None,1
부러워하는,None,1
다능한,None,1
가장 강렬한,None,1
빛냈다,None,1
꽃단장하,None,1
설렌다는,None,1
갈수록 예뻐지는,None,1
정성스런,None,1
열광시켰던,None,1
여리고 따뜻한,None,1
솔직하고 풋풋한,None,1
즐겁게 해주는,None,1
절묘한,None,1
조명한,None,1
빛났던,None,1
변모한,None,1
새롭게 변모한,None,1
따뜻하고 다정다감한,None,1
빠르게 성장하,None,1
진짜 재밌다,None,1
가장 잘하는,None,1
에너지로 가득한,None,1
늠름한,None,1
색다르게 해석한,None,1
그루비하,None,1
싱그러운,None,1
갓벽한,None,1
깔끔하게 부르는,None,1
퓨처리스틱한,None,1
거침없고 솔직한,None,1
탁월하게 소화한,None,1
점점 고조되는,None,1
고조시키는,None,1
어마어마하,None,1
트랜디한,None,1
성숙해지,None,1
여유롭고 편안한,None,1
과시하고 있는,None,1
새롭고 신선한,None,1
HIP한,None,1
해맑게 웃는,None,1
극대화시키,None,1
완벽하게 아우르,None,1
경쾌하고 로맨틱한,None,1
더욱 몰입할,None,1
멋있으시,None,1
아름다우시,None,1
유쾌하고 밝은,None,1
진솔하게 담은,None,1
매우 독특한,None,1
걸크러시한,None,1
귀엽고 사랑스러운,None,1
현혹시킬,None,1
단정하고 차분한,None,1
새롭고 활발한,None,1
글래머러스한,None,1
능가하는,None,1
너무 소중한,None,1
초롱초롱한,None,1
사랑받았던,None,1
다채롭게 변화하는,None,1
더욱 무르익은,None,1
아주 뜻깊은,None,1
정형화된,None,1
장대한,None,1
항상 좋아해주는,None,1
좋아해주는,None,1
역동적으로 표현한,None,1
준수한,None,1
비상한,None,1
블링블링한,None,1
더욱 뜻깊은,None,1
사이버틱한,None,1
아주 솔직한,None,1
더욱 견고해진,None,1
가장 어울리는,None,1
패셔니스타다운,None,1
설레게 만들었,None,1
뜨겁게 달궜던,None,1
퓨처리스틱하고 세련된,None,1
퓨처리스틱하,None,1
함께 꾸미는,None,1
물씬 묻어나는,None,1
새롭고 신비로운,None,1
고군분투하는,None,1
고군분투했,None,1
즐거웠던,None,1
팬들에게 특별한,None,1
더욱 다채로운,None,1
글래머스한,None,1
오똑한,None,1
유감없이 발휘해,None,1
화려하게 수놓,None,1
빠져들게 만드는,None,1
한층 성숙한,None,1
한층 세련된,None,1
재탄생시킨,None,1
섬세하게 표현한,None,1
허스키한,None,1
귀엽고 깜찍한,None,1
완벽히 소화한,None,1
더욱 화려해진,None,1
다채롭고 파워풀한,None,1
리드미컬하,None,1
성실한,None,1
차분하,None,1
훨씬 잘한,None,1
많이 성장한,None,1
어마무시한,None,1
뚜렷해지는,None,1
강렬하고 파워풀한,None,1
더욱 뚜렷해지는,None,1
센스있는,None,1
돋보였던,None,1
러블리하,None,1
과분할,None,1
선보이던,None,1
가장 뿌듯한,None,1
유수한,None,1
아티스틱한,None,1
흥미진진하,None,1
도약한,None,1
숨막히는,None,1
풍성하게 채웠,None,1
스타일리시하게 소화하,None,1
사랑스럽고 청량한,None,1
알록달록한,None,1
순수하고 귀여웠던,None,1
극대화하는,None,1
초월하는,None,1
고풍스러운,None,1
더욱 업그레이드되고,None,1
업그레이드되,None,1
꾸준히 사랑받고,None,1
풍성하게 펼쳐지,None,1
귀여웠던,None,1
활약해온,None,1
더욱 성장한,None,1
드넓은,None,1
환히 밝히는,None,1
명확한,None,1
주목받고 있는,None,1
진심어린,None,1
가득찬,None,1
걸출한,None,1
한층 업그레이드시켰다,None,1
유혹하는,None,1
따스하,None,1
색깔로 재탄생된,None,1
최고조로 달궜다,None,1
청순하,None,1
화려하고 키치한,None,1
가장 성공한,None,1
장악할,None,1
믿기지 않을,None,1
명실상부한,None,1
너무 기특한,None,1
뜨겁고 치열했던,None,1
업그레이드시켰,None,1
엄청나다,None,1
파워풀,None,1
남달랐던,None,1
젠틀한,None,1
극찬한,None,1
단아한,None,1
인정받고 있는,None,1
깊이 있는,None,1
활약했,None,1
기대해도 좋을,None,1
고조되고 있는,None,1
설렘 가득한,None,1
수려한,None,1
눈부시게 설레는,None,1
쇄도하,None,1
투철하게 준비한,None,1
진하게 녹여낸,None,1
활발하게 활동한,None,1
단숨에 매료시켰다,None,1
경쾌하게 펼쳐지는,None,1
성황리에 마무리한,None,1
주목할 만한,None,1
따뜻하고 편안한,None,1
절묘하,None,1
활약할,None,1
강조하는,None,1
반열에 올리는,None,1
뽐내왔다는,None,1
발휘하는,None,1
재밌었,None,1
버금가는,None,1
환호하,None,1
고조된,None,1
단번에 압도하며,None,1
고르게 사랑받,None,1
대체 불가한,None,1
더욱 견고하게,None,1
기대하게 만들,None,1
소울풀한,None,1
다소 시크한,None,1
조화롭게 어우러지,None,1
매우 다양해,None,1
돋보였다,None,1
뭉클함,None,1
한층 짙어진,None,1
노련한,None,1
코믹한,None,1
발휘했,None,1
과시했,None,1
더욱 특별한,None,1
더욱더 특별하다는,None,1
특별하다는,None,1
호응에 힘입어,None,1
더욱 다양한,None,1
더욱 업그레이드된,None,1
한층 업그레이드된,None,1
사랑에 빠지는,None,1
과시한,None,1
장악한,None,1
주목받은,None,1
심쿵하,None,1
가장 행복한,None,1
능숙한,None,1
명료한,None,1
출중한,None,1
인기에 힘입어,None,1
뽐내고 있는,None,1
더욱 높였다,None,1
선보이고 있는,None,1
조명하,None,1
뺨치는,None,1
상큼발랄한,None,1
흥미로운,None,1
쿨하,None,1
뭉클한,None,1
성공적으로 마무리한,None,1
더욱 다채로워진,None,1
의기투합한,None,1
파워풀하,None,1
발휘할,None,1
뽐낸,None,1
달아오르,None,1
발휘해 보였,None,1
어우러지는,None,1
화려하게 장식했,None,1
흥미진진한,None,1
휩쓸었던,None,1
청량함,None,1
극찬했,None,1
주목받는,None,1
어마어마한,None,1
유니크하,None,1
활약하고 있는,None,1
만끽하는,None,1
완벽하게 소화해내,None,1
화끈한,None,1
물씬 풍기는,None,1
완벽하게 소화했,None,1
너무 예쁘다,None,1
뜨겁게 달궜,None,1
럭셔리한,None,1
만족시킬,None,1
뜨거웠던,None,1
활약한,None,1
등극하는,None,1
청량하면서도,None,1
전달하는,None,1
컬러풀한,None,1
강렬함,None,1
걸맞,None,1
한껏 끌어올렸다,None,1
영원한,None,1
레트로한,None,1
주목하는,None,1
스타일리시한,None,1
진솔하,None,1
천진난만한,None,1
끊임없는,None,1
더욱 빛나는,None,1
최고조로 끌어올렸다,None,1
드라마틱한,None,1
잘록한,None,1
자아냈,None,1
독차지하,None,1
자랑해 보였,None,1
귀여움,None,1
세계적으로 유명한,None,1
섬세하,None,1
고급스러운,None,1
조명하는,None,1
한층 성숙하고,None,1
과감하,None,1
발휘한,None,1
로맨틱한,None,1
이끌어갈,None,1
주목하,None,1
깊어지는,None,1
좋았다,None,1
한층 성숙해진,None,1
내추럴한,None,1
겸비한,None,1
새롭게 선보이는,None,1
다채,None,1
에너제틱한,None,1
한층 성장한,None,1
그루브한,None,1
예쁨,None,1
가장 좋아하는,None,1
풍성하,None,1
청아한,None,1
더욱 돋보이게,None,1
따스한,None,1
활약하,None,1
괄목할,None,1
선사한,None,1
선보였던,None,1
청순한,None,1
리드미컬한,None,1
러블리한,None,1
그루비한,None,1
자아내는,None,1
선보일지,None,1
매료시킬,None,1
주목받,None,1
선사하는,None,1
발휘,None,1
자연스러운,None,1
풋풋한,None,1
강렬하,None,1
발휘하,None,1
유일하,None,1
진솔한,None,1
유일한,None,1
거침없는,None,1
과시하,None,1
자아내,None,1
톡톡 튀는,None,1
선보였,None,1
감미로운,None,1
유니크한,None,1
신비로운,None,1
휩쓸,None,1
차지했,None,1
깊어진,None,1
설렘,None,1
비상하는,None,1
섬세한,None,1
폭넓은,None,1
막강한,None,1
강력한,None,1
풍성한,None,1
깊은,None,1
선사할,None,1
시크한,None,1
수많은,None,1
빛나는,None,1
파워풀한,None,1
가득한,None,1
새롭,None,1
선보이는,None,1
벅차다,벅차,1
원활,원하,1
고도화되,고도화되,1
의젓하,의젓,1
망라,망하,1
남부럽,남부럽,1
고유,고되,1
원대한,원대,1
상생,상하,1
상당,상하,1
섭렵,섭하,1
지켜,지,1
고조,고조,1
당찬,당차,1
당차,당차,1
깜짝 놀라게,깜짝 놀,1
이상없,이상없,1
딱이,딱이,1
후회없,후회,1
지키,지,1
다양한,다양,1
화려한,화려,1
좋은,좋,1
특별한,특별,1
돋보이는,돋보이,1
따뜻한,따뜻,1
더불,더하,1
완벽한,완벽,1
활발한,활발,1
탄탄한,탄탄,1
유쾌한,유쾌,1
뽐내,뽐내,1
사랑스러운,사랑,1
완벽하,완벽,1
독특한,독특,1
훈훈한,훈훈,1
좋아하는,좋아하,1
감사하,감사,1
소중한,소중,1
밝은,밝,1
꾸준한,꾸준,1
자랑하,자랑,1
기대,기대,1
사로잡,사로잡,1
행복한,행복,1
세련된,세련,1
사랑,사랑,1
신선한,신선,1
화려하,화려,1
사랑하는,사랑,1
섹시한,섹시하,1
받는,받,1
즐기는,즐기,1
기대하,기대,1
사로잡을,사로잡,1
높이,높이,1
이루,이루,1
빠르,빠르,1
설레,설레,1
사로잡는,사로잡,1
예쁘,예쁘,1
상큼한,상큼,1
더하,더하,1
밝히,밝,1
즐겁,즐겁,1
좋겠,좋,1
돋보이,돋보이,1
자랑하는,자랑,1
경쾌한,경쾌,1
좋을,좋,1
행복하,행복,1
어울리는,어울리,1
자랑,자랑,1
우아한,우아,1
사로잡은,사로잡,1
진정한,진정하,1
좋아,좋아,1
건강한,건강,1
감사,감사,1
받을,받,1
뛰어넘,뛰어넘,1
설레는,설레,1
뜻깊은,뜻,1
귀엽,귀엽,1
성숙,성숙,1
극복하,극복,1
솔직한,솔직,1
시원한,시원,1
훈훈함,훈훈,1
발랄한,발랄,1
아끼,아끼,1
즐기,즐기,1
달콤한,달콤,1
기쁘,기쁘,1
기대되는,기대,1
따뜻하,따뜻,1
가능한,가능,1
짜릿한,짜릿,1
편안한,편안,1
당당한,당,1
자세한,자세히,1
달성한,달성,1
성숙한,성숙,1
솔직하,솔직,1
사랑받,사랑받,1
깜찍한,깜찍,1
멋지,멋지,1
뚜렷한,뚜렷,1
사로잡았,사로잡,1
맑은,맑은,1
다채롭,다채,1
젊은,젊,1
건강하,건강,1
활발하,활발,1
멋있,멋있,1
중요한,중요,1
이루는,이루,1
유명한,유명,1
자연스럽,자연,1
트렌디한,트렌디하,1
뛰어넘는,뛰어넘,1
성공했,성공,1
신나는,신나,1
여유로운,여유,1
달성하,달성,1
좋아하,좋아하,1
다정한,다정,1
선사,선사,1
든든한,든든,1
인정하,인정,1
높였,높,1
순수한,순수,1
성숙하,성숙,1
고맙,고맙,1
풍부한,풍부,1
자유로운,자유,1
웅장한,웅장,1
완성한,완성,1
자랑한,자랑,1
사랑하,사랑,1
인정한,인정,1
성공한,성공,1
성공하,성공,1
생생하,생생,1
인정받,인정받,1
아름답,아름답,1
유쾌하,유쾌,1
다양하,다양,1
축하하,축하,1
좋다,좋,1
잘하는,잘하,1
완성,완성,1
재미있,재미있,1
당당하,당,1
축하,축하,1
잘하,잘하,1
달달한,달달,1
생생한,생생,1
화사한,화사,1
압도하는,압도,1
좋았,좋,1
확실한,확실,1
우월한,우월,1
탁월한,탁월,1
신나,신나,1
감사한,감사,1
사랑스럽,사랑,1
뽐내는,뽐내,1
늘씬한,늘씬,1
특별하,특별,1
행복,행복,1
믿기,믿,1
멋있는,멋있,1
열렬한,열렬히,1
가능하,가능,1
달성,달성,1
포근한,포근,1
축하하는,축하,1
충분하,충분,1
왕성한,왕성,1
편하,편하,1
성공,성공,1
믿듣,믿,1
완성된,완성,1
중요하,중요,1
재미있는,재미있,1
반갑,반갑,1
환하,환하,1
정확한,정확,1
섹시하,섹시하,1
기대된다,기대되,1
열심히 하는,열심히 하,1
맛있,맛있,1
고백,고백,1
위대한,위대,1
깨닫,깨닫,1
힘차,힘차,1
안전한,안전,1
노력,노력,1
친근한,친근,1
강하,강하,1
우아하,우아,1
웃었,웃,1
확실하,확실,1
아름다움,아름다움,1
섹시함,섹시하,1
특별함,특별,1
인정받은,인정받,1
경쾌하,경쾌,1
화려,화려,1
찬란한,찬란,1
곱씹,곱,1
시원하,시원,1
사랑할,사랑,1
높이는,높이,1
다정하,다정,1
시원시원한,시원시원,1
깔끔한,깔끔,1
성장,성장,1
완성할,완성,1
신선하,신선,1
노력했,노력,1
노력하,노력,1
인정받는,인정받,1
웃는,웃,1
선명한,선명,1
괜찮,괜찮,1
맛있는,맛있,1
좋아지는,좋아지,1
충분했,충분,1
조화롭,조화,1
편안하,편안,1
대단한,대단,1
간절한,간절,1
재밌는,재밌,1
완성하는,완성,1
사랑하겠,사랑,1
각별한,각별,1
강화하,강화,1
유쾌함,유쾌,1
꼼꼼하,꼼꼼,1
다양,다양,1
감탄했,감탄,1
기부,기부,1
노력할,노력,1
탄탄하,탄탄,1
노력한,노력,1
웃을,웃,1
화기애애한,화기애애,1
기대하는,기대,1
지혜로운,지혜,1
용감하,용감,1
초월한,초월,1
상큼하,상큼,1
또렷한,또렷,1
완성하,완성,1
훌륭한,훌륭,1
열광,열광,1
달성했,달성,1
선명하,선명,1
끌어,끌,1
돕는,돕,1
압도하,압도,1
철저하,철저,1
뿌듯하,뿌듯,1
선한,선하,1
노력하는,노력,1
깔끔하,깔끔,1
두근거리,두근거리,1
어울리,어울리,1
사랑한,사랑,1
잘할,잘하,1
가르침,가르침,1
신비롭,신비,1
철저한,철저,1
든든하,든든,1
강렬,강하,1
깨끗한,깨끗,1
부드럽,부드럽,1
훈훈하,훈훈,1
추천하,추천,1
달래,달래,1
행복했,행복,1
감미롭,감미롭,1
당당함,당,1
소중함,소중,1
뚜렷하,뚜렷,1
좋아할,좋아하,1
왕성하,왕성,1
열광하,열광,1
흥미롭,흥미,1
발랄하,발랄,1
사랑받는,사랑받,1
장식,장하,1
기쁘다,기쁘,1
꾸준하,꾸준히,1
더했,더하,1
상큼함,상큼,1
좋아했,좋아하,1
감사하다,감사,1
솔직함,솔직,1
흐뭇한,흐뭇,1
소중하,소중,1
강화된,강화,1
사랑스러움,사랑,1
노력하겠,노력,1
편안함,편안,1
그리워하는,그리워하,1
우수한,우수,1
기대되,기대,1
멋스러운,멋,1
신중하,신중,1
뿌듯한,뿌듯,1
신선함,신선,1
명쾌한,명쾌,1
예쁘네,예쁘,1
세련되,세련되,1
익숙한,익숙,1
깜찍하,깜찍,1
황홀한,황홀,1
고맙다,고맙,1
뛰어넘은,뛰어넘,1
견고하,견고,1
기부하,기부,1
슬기로운,슬기,1
사랑받은,사랑받,1
대단하,대단,1
간절함,간절,1
유명,유명,1
착하,착하,1
환한,환,1
자신있,자신,1
기대할,기대,1
가능,가능,1
완전한,완전,1
달성하는,달성,1
극복,극복,1
믿을,믿,1
웃픈,웃,1
존중하,존중,1
포근하,포근,1
순수하,순수,1
존경하는,존경,1
산뜻한,산뜻,1
강인함,강인,1
흥겹,흥겹,1
우아함,우아,1
성사,성하,1
신중,신중,1
가능할,가능,1
평화로운,평화,1
친근하,친근,1
감탄하,감탄,1
조화로운,조화,1
추천하는,추천,1
매끄럽,매끄럽,1
적합한,적합,1
감사함,감사,1
완성했,완성,1
재치있,재치,1
훤칠한,훤칠,1
신기하,신기,1
적절한,적절,1
뚜렷,뚜렷,1
기부했,기부,1
발전하는,발전,1
압도한,압도,1
여유롭,여유,1
완벽,완벽,1
추천,추천,1
따뜻함,따뜻,1
이기,이기,1
강력,강하,1
유창한,유창,1
재미있을,재미있,1
견고한,견고,1
이쁘,이쁘,1
아끼는,아끼,1
겸손한,겸손,1
강인한,강인,1
최적화된,최적화하,1
개성있는,개성,1
훈훈,훈훈,1
자랑스럽,자랑,1
흥분,흥분,1
완전,완전,1
화려함,화려,1
열광하는,열광,1
요염한,요염,1
사랑받았,사랑받,1
잘한,잘하,1
추천한,추천,1
격려했,격려,1
신기,신기,1
소중,소중,1
행복하다,행복,1
추진,추진,1
찬란하,찬란,1
발전한,발전,1
재치있는,재치,1
충분한,충분,1
확보한,확보,1
선호하는,선호,1
괜찮다,괜찮,1
확보,확보,1
발전하,발전,1
잘하시,잘하,1
해내는,해내,1
독특하,독특,1
참신한,참신,1
성공할,성공,1
칭찬했,칭찬,1
맑음,맑,1
기대한,기대,1
강화하는,강화,1
뛰어넘었,뛰어넘,1
돋보였,돋보이,1
특이한,특이,1
반할,반하,1
유명하,유명,1
가장 중요한,가장 중요,1
선전한,선전,1
용감한,용감,1
멋있다,멋있,1
좋아하실,좋아하,1
귀엽다,귀엽,1
깜찍함,깜찍,1
놀랍,놀랍,1
축하할,축하,1
기부한,기부,1
환영하는,환영,1
행복할,행복,1
예쁘다,예쁘,1
상당한,상당,1
잘했,잘하,1
감동,감동,1
자랑했,자랑,1
쾌활한,쾌활,1
영광스럽,영광,1
트렌디하,트렌디하,1
신중할,신중,1
흐뭇하,흐뭇,1
섹시,섹시하,1
격려하,격려,1
탁월함,탁월,1
자주 하는,자주 하다,1
신기하다,신기,1
반하,반하,1
의지하,의지,1
편리하,편리,1
바르,바르,1
뿌듯,뿌듯,1
행복하시,행복,1
인정했,인정,1
두드러지는,두드러지,1
통과하,통과,1
칭찬하,칭찬,1
재미있었,재미있,1
그리워하,그리워하,1
회복하는,회복,1
도와주신,도와주,1
건강하시,건강,1
날씬한,날씬,1
화사하,화사,1
친하,친하,1
특별,특별,1
공정한,공정,1
풍부하,풍부,1
할인된,할인,1
확실,확실,1
시원시원하,시원시원,1
건강하겠,건강,1
돋우는,돋우,1
완성될,완성,1
이룩하,이룩,1
안심한,안심,1
멋지다,멋지,1
받기,받,1
사랑해,사랑,1
명랑한,명랑,1
짜릿할,짜릿,1
감사할,감사,1
달콤하,달콤,1
통틀,통하,1
가장 좋은,가장 좋,1
신기한,신기,1
가능했,가능,1
맛깔나는,맛깔,1
승리하는,승리,1
놀기,놀,1
뿌듯함,뿌듯,1
돋우,돋우,1
추진하,추진,1
꼼꼼한,꼼꼼,1
축하해,축하,1
싱그럽,싱그럽,1
행복함,행복,1
분명하,분명,1
분명한,분명,1
강화,강화,1
성공하는,성공,1
웃기,웃,1
예뻐지는,예쁘,1
인정받았,인정받,1
인정,인정,1
훌륭하,훌륭,1
멋있었,멋있,1
명랑하,명랑,1
특이하,특이,1
건강하셨,건강,1
단정한,단정,1
잘생기,잘생기,1
겸손하,겸손,1
멋스럽,멋,1
감동한,감동,1
흥분한,흥분,1
건강,건강,1
발전했,발전,1
대단하다,대단,1
무궁무진한,무궁무진,1
굳세,굳세,1
견고,견고,1
화목한,화목,1
다정함,다정,1
존경하,존경,1
희망차,희망차,1
상쾌함,상쾌,1
특별했,특별,1
기뻐했,기뻐하,1
감사했,감사,1
유리한,유리,1
알맞은,알맞,1
선전했,선전,1
씩씩한,씩씩,1
해내,해내,1
상쾌한,상쾌,1
근사한,근사,1
흡족한,흡족,1
만족스러운,만족,1
괜찮은,괜찮,1
극복해,극복,1
능력,능력,1
시원함,시원,1
통과할,통과,1
두근거리는,두근거리,1
격려하는,격려,1
기대하던,기대,1
월등한,월등히,1
완벽하다,완벽,1
기대했,기대,1
강화되,강화,1
굉장한,굉장,1
상냥한,상냥,1
칭찬하는,칭찬,1
해결하,해결,1
진실된,진실,1
기뻐하는,기뻐하,1
예쁘긴,예쁘,1
재치,재치,1
단정하,단정,1
극복할,극복,1
유능한,유능,1
귀여워요,귀여워하,1
행복하셨,행복,1
귀중한,귀중,1
좋아지,좋아지,1
멋있네,멋있,1
친밀하,친밀,1
간직한,간직,1
승리,승리,1
나아지,나아지,1
그리워한,그리워하,1
신중함,신중,1
승리했,승리,1
탄탄,탄탄,1
반했,반하,1
중요,중요,1
강화한,강화,1
밝았,밝,1
강인,강인,1
바람직한,바람직,1
좋아하던,좋아하,1
충분,충분,1
화창한,화창,1
기대할 만한,기대 만하,1
시원하다,시원,1
야무진,야무지,1
도와주,도와주,1
반기,반기,1
예쁘죠,예쁘,1
달성할,달성,1
신중한,신중,1
뛰어나,뛰어나,1
확보할,확보,1
한결같은,한결같,1
믿는,믿,1
돋는,돋,1
합격했,합격,1
사랑하기,사랑,1
크겠,크,1
편안,편안,1
기뻐하,기뻐하,1
의지할,의지,1
존중하는,존중,1
만족하,만족,1
놀렸,놀,1
감탄,감탄,1
강하다,강하,1
꾸준,꾸준히,1
발전,발전,1
각별하,각별,1
성대하,성대,1
신명나는,신명,1
어필했,어필,1
친근,친근,1
의기양양하던,의기양양,1
맛있게 먹을,맛있 먹,1
이끌리는,이끌리,1
대단하신,대단,1
솟아나는,솟아나,1
축하했,축하,1
재미있다,재미있,1
감동하,감동,1
선명,선명,1
야무지,야무지,1
수수하,수수,1
발랄함,발랄,1
온전한,온전,1
짜릿하,짜릿,1
신박한,신,1
승리하,승리,1
반기는,반기,1
활발,활발,1
어울리네,어울리,1
고맙겠,고맙,1
갸름한,갸름,1
감탄한,감탄,1
추진할,추진,1
잘될,잘되,1
돋보인,돋보이,1
적절하,적절히,1
해결,해결,1
깨끗하,깨끗하,1
믿음직스러운,믿음직,1
장악,장하,1
좋아하셨,좋아하,1
트렌디함,트렌디하,1
부지런하,부지런,1
즐기셨,즐기,1
해결할,해결,1
선하,선하,1
승리한,승리,1
영리한,영리,1
영롱한,영롱,1
완성됐,완성,1
인정하는,인정,1
친절한,친절,1
흥행하,흥행,1
설레게 하는,설레 하,1
순탄,순탄,1
탁월하,탁월,1
탐스럽,탐스럽,1
요염하,요염,1
만족스럽,만족,1
만족,만족,1
강조,강하,1
성숙함,성숙,1
설레이는,설레이,1
반가운,반갑,1
황홀하,황홀,1
산뜻하,산뜻,1
초월,초월,1
좋아해,좋아하,1
간절하,간절,1
간직할,간직,1
성대한,성대,1
뿌듯했,뿌듯,1
완전함,완전,1
또렷,또렷,1
완성되,완성,1
고마워했,고마워하,1
중요하다,중요,1
공평할,공평,1
열광한,열광,1
크다,크,1
씩씩하,씩씩,1
압도,압도,1
기부하는,기부,1
웃은,웃,1
매우 기쁘며,맵 기쁘,1
귀여워,귀여워하,1
반한,반하,1
여유,여유,1
희망,희망,1
존경받는,존경,1
고급스럽,고급,1
달달함,달달,1
놀뭐,놀,1
감탄하는,감탄,1
행복하길,행복,1
위하는,위하,1
공정하,공정,1
잘되,잘되,1
편성,편하,1
예뻐지네,예쁘,1
휴식할,휴식,1
이해하는,이해,1
친절하,친절,1
괜찮아,괜찮,1
이루어지,이루어지,1
드높은,드높,1
푸짐한,푸짐,1
깨알같은,깨알,1
참된,참되,1
자랑스럽다,자랑,1
솔직,솔직,1
돋우었,돋우,1
행복해,행복,1
아끼던,아끼,1
참신,참신,1
용납,용하,1
편안할,편안,1
개선되,개선,1
환하게 웃는,환하 웃,1
따뜻,따뜻,1
상큼,상큼,1
심쿵,심,1
평탄할,평탄,1
만족할,만족,1
정당한,정,1
굉장하,굉장,1
감개무량하다,감개,1
감격한,감격,1
자랑할,자랑,1
인기있는,인기,1
우아,우아,1
추천했,추천,1
감당할,감당,1
정교한,정교,1
뛰어나다는,뛰어나,1
놀았,놀,1
어필하,어필,1
매력있,매력,1
경이로운,경이,1
멋있어,멋있,1
즐겁게 하는,즐겁 하,1
설레이,설레이,1
합격한,합격,1
즐겨,즐기,1
신선했,신선,1
영롱함,영롱,1
강화할,강화,1
개선,개선,1
통쾌한,통쾌,1
높이 평가하며,높이 평가,1
좋아질,좋아하,1
좋아졌,좋아하,1
추진된,추진,1
겸손함,겸손,1
사랑받기,사랑받,1
당당할,당,1
밝혀,밝,1
어울리죠,어울리,1
대단,대단,1
반하는,반하,1
흥행했,흥행,1
사랑했,사랑,1
