VP,radix,polarity
버리,버리,-1
죽을,죽,-1
걱정하,걱정,-1
포기한,포기,-1
어색하,어색,-1
막히는,막히,-1
미안한,미안,-1
괴롭힘,괴롭,-1
안타깝,안타깝,-1
당황,당황,-1
강탈하,강탈,-1
중단한,중단,-1
무분별한,무분별,-1
무례한,무례,-1
뻔뻔하,뻔뻔,-1
위험한,위험,-1
낯설,낯설,-1
늦은,늦,-1
흘리는,흘리,-1
씁쓸한,씁쓸,-1
후회하,후회,-1
피곤한,피곤,-1
죄송하다,죄송,-1
지나치,지나치,-1
긴장하,긴장,-1
능청스러운,능청,-1
포기하,포기,-1
무기력함,무기력,-1
참견하,참견,-1
아니다,아니,-1
막히,막히,-1
발칙한,발칙,-1
불안한,불안,-1
외롭,외롭,-1
귀찮,귀찮,-1
떨렸,떨,-1
무너지,무너지,-1
엉뚱한,엉뚱,-1
싸우는,싸우,-1
소외되는,소외,-1
위태롭,위태,-1
망설임,망설이,-1
서운함,서운,-1
못한,못하,-1
당황한,당황,-1
위태로운,위태,-1
경악,경악,-1
당하,당하,-1
우울한,우울,-1
협박한,협박,-1
급하,급하,-1
억울함,억울,-1
당황했,당황,-1
다투는,다투,-1
의심,의심,-1
아깝,아깝,-1
어색하다,어색,-1
당황하,당황,-1
걱정했,걱정,-1
훔치,훔치,-1
공허한,공허,-1
다치,다치,-1
낙담했,낙담,-1
긴장되,긴장,-1
조심하,조심,-1
혼란스러운,혼란,-1
부족할,부족,-1
낡은,낡,-1
지는,지,-1
중단했,중단,-1
틀리,틀리,-1
거칠,거칠,-1
분노했,분노,-1
황당한,황,-1
무섭,무섭,-1
떨치,떨,-1
비추는,비추하,-1
부족,부족,-1
죽겠,죽,-1
고독한,고독,-1
안타까워했,안타까워하,-1
티격태격하는,티격태격,-1
어색했,어색,-1
재촉하는,재촉,-1
못할,못하,-1
부담스럽,부담,-1
긴장된,긴장,-1
부끄럽,부끄럽,-1
삐딱하,삐딱,-1
무너지는,무너지,-1
주저앉,주저앉,-1
헤매,헤매,-1
막강,막되,-1
울었,울,-1
부스스한,부스스,-1
미루,미,-1
불편함,불편,-1
어려워하는,어려워하,-1
뻔뻔한,뻔뻔,-1
걱정하는,걱정,-1
울리,울,-1
침체된,침체,-1
속이는,속이,-1
괴로워하는,괴로워하,-1
잃지,잃,-1
벗어나,벗어나,-1
억울한,억울,-1
심하,심하,-1
우는,울,-1
위반한,위반,-1
강탈하는,강탈,-1
나쁘,나쁘,-1
이상하,이상,-1
조심,조심,-1
긴장,긴장,-1
아슬아슬한,아슬아슬,-1
오해한,오해,-1
때리는,때리,-1
부인했,부인,-1
미숙한,미숙,-1
후회할,후회,-1
캄캄한,캄캄하,-1
깜짝 놀라고,깜짝 놀,-1
까마득하,까마득,-1
어렵기,어렵,-1
떨어지,떨어지,-1
불편한,불편,-1
중단,중단,-1
사망한,사망,-1
훼손하는,훼손,-1
유치하,유치,-1
의심하,의심,-1
부럽다,부럽,-1
짠내,짠하,-1
떠들썩하,떠들썩,-1
들끓,들끓,-1
오싹한,오싹,-1
경악하,경악,-1
느리,느리,-1
아프셨,아프,-1
불편,불편,-1
쓸쓸함,쓸쓸,-1
난해한,난해,-1
당황하는,당황,-1
포기할,포기,-1
위협할,위협,-1
시들,시들,-1
부주의한,부,-1
지루할,지루,-1
금지된,금지,-1
비싸,비싸,-1
부럽,부럽,-1
무시한,무시,-1
심려,심하,-1
아니냐,아니하,-1
찡한,찡하,-1
이상한,이상,-1
미워하,미워하,-1
잃었던,잃,-1
싫어하는,싫어하,-1
싸우,싸우,-1
얼떨떨,얼떨떨,-1
무섭다,무섭,-1
억누르,억누르,-1
토하,토하,-1
못하겠,못하,-1
무질서한,무질서,-1
반대하,반대,-1
힘들다,힘들,-1
답답하,답답,-1
쌀쌀한,쌀쌀,-1
까불,까불,-1
늦었,늦,-1
고생한,고생,-1
해치,해치,-1
후회,후회,-1
먹먹함,먹먹,-1
서운한,서운,-1
잃었다,잃,-1
구속됐,구속,-1
슬프,슬프,-1
헤매던,헤매,-1
토로,토로,-1
구속된,구속,-1
무서움,무서움,-1
해고하,해고,-1
불쾌한,불쾌,-1
약해지는,약하,-1
다치는,다치,-1
질투할,질투,-1
놀리는,놀리,-1
고생했,고생,-1
억울하,억울,-1
죽은,죽,-1
무시무시한,무시,-1
벗어나는,벗어나,-1
깨지,깨,-1
지루하,지루,-1
속상하,속상하,-1
망하,망하,-1
힘겹,힘겹,-1
분노,분노,-1
이별하는,이별,-1
모자라,모자라,-1
창피하다,창피,-1
반대하는,반대,-1
가난한,가난,-1
만만치 않은,만만 않,-1
싸늘한,싸늘,-1
중단된,중단,-1
없애는,없애,-1
과하,과하,-1
창피,창피,-1
아니야,아니하,-1
아쉽다,아쉽,-1
분노하,분노,-1
질투하는,질투,-1
피하는,피하,-1
무책임한,무책임하,-1
미안함,미안,-1
우려,우려,-1
두렵,두렵,-1
화내지,화내,-1
구속되,구속,-1
슬퍼하,슬퍼하,-1
움츠리,움츠리,-1
철없는,철없,-1
금지되,금지,-1
소외된,소외,-1
어리숙한,어리숙하,-1
외로워하던,외로,-1
아프겠,아프,-1
죽는,죽,-1
막는,막되,-1
무리한,무리,-1
부진했,부진,-1
지독하,지독,-1
무서워하는,무서워하,-1
낙담하,낙담,-1
짠한,짠하,-1
지독한,지독,-1
긴장했,긴장,-1
잃어버리,잃어버리,-1
패배하,패배,-1
위축된,위축,-1
긴장되는,긴장,-1
처연한,처연,-1
조심할,조심,-1
착잡한,착잡,-1
무시하,무시,-1
불편해,불편,-1
부적절한,부,-1
이별한,이별,-1
잃었,잃,-1
토했,토하,-1
의심할,의심,-1
조마조마했,조마조마,-1
못하던,못하,-1
어색,어색,-1
아니네,아니하,-1
조심하시,조심,-1
아찔하,아찔,-1
부당한,부당,-1
시달리,시달리,-1
두렵다,두렵,-1
애쓰,애쓰,-1
불리던,불리하,-1
불편하,불편,-1
잃을,잃,-1
거부할,거부,-1
멋쩍,멋쩍,-1
싫었,싫,-1
부진한,부진,-1
꺾은,꺾이,-1
좌절하,좌절,-1
망설이는,망설이,-1
떨었,떨,-1
패하,패하,-1
괴롭히는,괴롭히,-1
악화,악화,-1
싫은,싫,-1
촌스럽다,촌스럽,-1
힘든,힘들,-1
어기,어기,-1
고통스럽,고통,-1
부인하,부인,-1
허전한,허전,-1
주저앉는,주저앉,-1
창백한,창백,-1
탐내,탐하,-1
울렸,울,-1
느끼함,느끼,-1
끔찍한,끔찍,-1
비꼬,비꼬,-1
틀어지,틀어지,-1
서운했,서운,-1
위험할,위험,-1
정신없는,정신없,-1
무시하는,무시,-1
꺾었,꺾이,-1
망했,망하,-1
분노한,분노,-1
부담스러운,부담,-1
아찔,아찔,-1
분노하는,분노,-1
아니죠,아니하,-1
없애,없애,-1
절박한,절박,-1
망쳐,망하,-1
아쉬워하는,아쉬워하,-1
중단됐,중단,-1
추워,추하,-1
악화되,악화,-1
괴롭혔,괴롭,-1
빼앗는,빼앗,-1
속한,속이,-1
과격한,과격,-1
탐탁,탐하,-1
서운,서운,-1
어색함,어색,-1
속상했,속상하,-1
애타는,애타,-1
두려워하,두려워하,-1
쓸데없는,쓸데없,-1
부인한,부인,-1
잔인하다,잔인,-1
안절부절못하는,안절부절못하,-1
피곤,피곤,-1
부인,부인,-1
비웃,비웃,-1
지키지 않은,지키 않,-1
초조함,초조,-1
물러나,물러나,-1
부족하다,부족,-1
부서지,부서지,-1
여리,여리,-1
따끔한,따끔,-1
잃어버리기,잃어버리,-1
속았,속이,-1
늦어지,늦어지,-1
막연하,막연,-1
위협하는,위협,-1
과한,과하,-1
유치한,유치,-1
비판한,비판,-1
취약한,취약,-1
중단되,중단,-1
거절,거절,-1
피곤함,피곤,-1
섭섭함,섭섭,-1
버리는,버리,-1
시끄럽,시끄럽,-1
걱정되,걱정,-1
고생하는,고생,-1
훔치는,훔치,-1
고된,고되,-1
까마득한,까마득,-1
죄송한,죄송,-1
죄송합니다,죄송,-1
실망,실망,-1
서운하긴,서운,-1
의아함,의아,-1
거절한,거절,-1
위협,위협,-1
서운할,서운,-1
참담한,참담,-1
재미없,재미없,-1
놀리,놀리,-1
까칠한,까칠,-1
금지,금지,-1
막힘,막되,-1
부인할,부인,-1
막막한,막막,-1
오해하,오해,-1
미워하는,미워하,-1
방해하,방해,-1
외롭긴,외롭,-1
죽이지,죽이,-1
무모할,무모,-1
주저하는,주저,-1
죽어,죽,-1
머뭇거리,머뭇거리,-1
욕먹,욕하,-1
쓸모없,쓸모없,-1
부정하,부정,-1
얼떨떨하,얼떨떨,-1
무섭지,무섭,-1
지루,지루,-1
무시,무시,-1
무시할,무시,-1
헤매는,헤매,-1
어려워지,어려워하,-1
우기는,우기,-1
기겁했,기겁,-1
비싸다,비싸,-1
그릇된,그릇,-1
지각,지,-1
우기,우기,-1
꺾을,꺾이,-1
아깝다,아깝,-1
무리하,무리,-1
실망한,실망,-1
힘들어,힘들,-1
불안정한,불안정,-1
엉성한,엉성,-1
서늘한,서늘,-1
망설였,망설이,-1
협박,협박,-1
걱정하던,걱정,-1
위험,위험,-1
고용,고되,-1
무례하다,무례,-1
짓궂은,짓궂,-1
괴롭히,괴롭히,-1
위축,위축,-1
걱정할,걱정,-1
서운하,서운,-1
지겹,지겹,-1
싫어했,싫어하,-1
죽었을,죽,-1
잘못되,잘못하,-1
소홀한,소홀,-1
모호한,모호,-1
고소,고되,-1
방치하,방치,-1
비꼬는,비꼬,-1
거절하는,거절,-1
그만두,그만두,-1
참혹한,참혹,-1
불안,불안,-1
고뇌,고되,-1
비판했,비판,-1
절망하,절망,-1
이상할,이상,-1
억지스럽,억지,-1
후회하는,후회,-1
떨어지네,떨어지,-1
쓰리,쓰,-1
미안했,미안,-1
이루지 못했,이루 못하,-1
비웃었,비웃,-1
위협하,위협,-1
깐깐한,깐깐,-1
위축되긴,위축,-1
유감스러운,유감,-1
간섭하,간섭,-1
반발하,반발,-1
해치는,해치,-1
처참하,처참,-1
부진하,부진,-1
위기,위기,-1
곤란한,곤란,-1
의아하,의아,-1
아쉬워했,아쉬워하,-1
투박한,투박,-1
허무는,허무,-1
심각,심하,-1
싫어요,싫어하,-1
비판하,비판,-1
방해하는,방해,-1
포기했,포기,-1
난처한,난처,-1
위험하,위험,-1
금지됐,금지,-1
비판하는,비판,-1
초라한,초라,-1
막히죠,막히,-1
중단하는,중단,-1
향기로운,향기,-1
사망,사망,-1
반대,반대,-1
아니기,아니하,-1
고생하,고생,-1
부정할,부정,-1
수척,수척,-1
모순된,모순,-1
난감,난하,-1
없어지,없,-1
추측,추하,-1
못된,못되,-1
짧았,짧,-1
경악했,경악,-1
고장나다,고장나,-1
정신없,정신없,-1
불안함,불안,-1
못되,못하,-1
망치,망치,-1
어설프,어설프,-1
복잡,복잡,-1
무례하,무례,-1
반대했,반대,-1
의아한,의아,-1
과장된,과장,-1
찡그리,찡그리,-1
유치했,유치,-1
심심,심심,-1
억울하다,억울,-1
꺼리는,꺼리,-1
잘못됐,잘못하,-1
화내,화내,-1
꺾이,꺾이,-1
불쾌하,불쾌,-1
잘못했,잘못하,-1
파괴하,파괴,-1
허무한,허무,-1
이별하,이별,-1
어줍잖은,어줍잖,-1
힘없는,힘없,-1
무너뜨리는,무너뜨리,-1
심해,심하,-1
비웃는,비웃,-1
속이,속이,-1
교묘한,교묘,-1
배신하,배신,-1
사망하,사망,-1
이해하지 못하는,이해 못하,-1
경악하는,경악,-1
속상,속,-1
꺾였,꺾이,-1
더디,더디,-1
어둡던,어둡,-1
못난,못나,-1
부담,부담,-1
아니란,아니하,-1
당황해하,당황,-1
망설이,망설이,-1
이루지 못하는,이루 못하,-1
잃는,잃,-1
포기,포기,-1
궂긴,궂,-1
비웃은,비웃,-1
협박하,협박,-1
죽었,죽,-1
잃었냐,잃,-1
흐리,흐리,-1
못살,못하,-1
절박함,절박,-1
싫어하,싫어하,-1
저리,저,-1
시큰둥한,시큰둥,-1
걱정말,걱정,-1
섬뜩할,섬뜩하,-1
경악한,경악,-1
허전함,허전,-1
과장,과장,-1
불리하,불리하,-1
잘못하,잘못하,-1
비판받,비판,-1
막겠,막되,-1
불리한,불리,-1
못받,못하,-1
우려하는,우려,-1
벗어나지 못했,벗어나 못하,-1
마비되는,마비,-1
질투,질투,-1
유감스럽,유감,-1
실망하,실망,-1
까다롭,까다롭,-1
해고한,해고,-1
앓는,앓,-1
부패한,부패,-1
어울리지 않는,어울리 않,-1
먹먹한,먹먹,-1
부정확한,부정확,-1
대립하는,대립,-1
놀림,놀림,-1
섭하죠,섭하,-1
당황함,당황,-1
어중간한,어중간,-1
망신스러운,망신,-1
추락,추하,-1
곤란함,곤란,-1
짓궂,짓궂,-1
움츠러드는,움츠러들,-1
패배하는,패배,-1
빼앗,빼앗,-1
떨려,떨,-1
저릿한,저릿,-1
놓치는,놓치,-1
오싹하,오싹,-1
오싹,오싹,-1
섬뜩한,섬뜩하,-1
쳐들어오,쳐들어오,-1
곤란하,곤란,-1
깨지는,깨,-1
무너뜨리,무너뜨리,-1
속였,속이,-1
못보,못하,-1
실망했,실망,-1
조마조마하,조마조마,-1
금지하,금지,-1
의아,의아,-1
후회했,후회,-1
토하는,토하,-1
싸우다,싸우,-1
겁나,겁나,-1
소외되,소외,-1
걸리는,걸리,-1
곤혹스러운,곤혹,-1
멍청함,멍청,-1
경솔했,경솔,-1
당황해하는,당황,-1
의심받,의심,-1
아쉬워하,아쉬워하,-1
막혔,막되,-1
걱정한,걱정,-1
꺾는,꺾이,-1
거부,거부,-1
의아했,의아,-1
찝찝하,찝찝,-1
답답,답답,-1
위급한,위급,-1
긴박한,긴박,-1
못자,못하,-1
비꼬았,비꼬,-1
처절한,처절,-1
부러지,부러지,-1
위조,위조,-1
희미한,희미,-1
깜짝 놀라는,깜짝 놀,-1
다투,다투,-1
불편하다,불편,-1
지루함,지루,-1
미안할,미안,-1
경솔,경솔,-1
짠하,짠하,-1
더럽다,더럽,-1
요란한,요란,-1
오염된,오염,-1
지쳤,지,-1
부끄러워하는,부끄러워하,-1
수척한,수척,-1
훼손되,훼손,-1
심했,심하,-1
찡하,찡하,-1
소용없,소용없,-1
훼손하,훼손,-1
버리기,버리,-1
창피한,창피,-1
망치는,망치,-1
무의미한,무의미,-1
악화하,악화,-1
긴장하는,긴장,-1
불량한,불량,-1
해고되,해고,-1
떨어지던,떨어지,-1
어긋나는,어긋나,-1
어울리지 않을,어울리 않,-1
무자비한,무,-1
당하기,당하,-1
어지럽,어지럽,-1
패배할,패배,-1
질리,질리,-1
아파하,아파하,-1
너무,너무하,-1
의심했,의심,-1
죄송함,죄송,-1
살해한,살해,-1
부담스럽다,부담,-1
어려워졌,어려워하,-1
우중충하,우중충하,-1
폭행한,폭행,-1
난처하,난처,-1
헐뜯는,헐뜯,-1
빼앗은,빼앗,-1
부서지는,부서지,-1
참견할,참견,-1
거부한,거부,-1
고단함,고단,-1
삭막함,삭막,-1
불건전한,불건전,-1
앓던,앓,-1
못내,못하,-1
부끄러워,부끄러워하,-1
절규하,절규,-1
강탈한,강탈,-1
험하,험하,-1
손상된,손상,-1
싫다,싫,-1
망치겠,망치,-1
부당함,부당,-1
질투한,질투,-1
궂은,궂,-1
이간질하는,이간질,-1
짓밟히,짓밟,-1
과했,과하,-1
불편할,불편,-1
창피하,창피,-1
열받을,열받,-1
싸우냐,싸우,-1
패했,패하,-1
쓰러지,쓰러지,-1
깜짝 놀라서,깜짝 놀,-1
빚지는,빚지,-1
불쌍하,불쌍,-1
느끼할,느끼,-1
비난하는,비난,-1
시달리는,시달리,-1
무례함,무례,-1
무기력,무기력,-1
고통스러운,고통,-1
우울할,우울,-1
못봤,못하,-1
억울,억울,-1
파괴한,파괴,-1
고리타분하,고리타분,-1
거만한,거만,-1
기겁하,기겁,-1
의심될,의심,-1
궁핍한,궁핍,-1
별로일,별,-1
식상할,식상,-1
이상하네,이상,-1
협박하는,협박,-1
공허함,공허,-1
과장되,과장,-1
질색하는,질색,-1
깨뜨리,깨뜨리,-1
별로네,별,-1
싫어하던,싫어하,-1
어려워,어렵,-1
기죽는,기죽,-1
기죽,기죽,-1
거슬리는,거슬리,-1
두렵던,두렵,-1
슬퍼,슬프,-1
불충분하,불충분하,-1
못쓰,못하,-1
무자비하,무,-1
살해되었,살해,-1
허무하,허무,-1
저급한,저급,-1
죽여,죽,-1
무의미하,무의미,-1
주저앉은,주저앉,-1
만만치않은,만만,-1
끔찍하,끔찍,-1
훼손된,훼손,-1
둔하대,둔하,-1
주저하던,주저,-1
허술한,허술,-1
억울할,억울,-1
부정하는,부정,-1
걱정스럽,걱정,-1
비싸네,비싸,-1
나쁘다,나쁘,-1
비싸냐,비싸,-1
유치할,유치,-1
오그라들,오그라들,-1
형편없는,형편없,-1
분개하,분개,-1
비참하,비참,-1
악용,악하,-1
처참한,처참,-1
암담한,암담,-1
원망하,원망,-1
안타깝다,안타깝,-1
망칠,망하,-1
방해했,방해,-1
상대,상하,-1
못잖,못하,-1
공허할,공허,-1
시무룩한,시무룩,-1
비통할,비통,-1
위축됐,위축,-1
파괴하는,파괴,-1
감질나,감질,-1
밋밋함,밋밋,-1
학대한,학대,-1
갈팡질팡하는,갈팡질팡,-1
괴롭힌,괴롭,-1
패소,패하,-1
교묘하,교묘,-1
미련한,미련,-1
성급하,성급,-1
비싸도,비싸,-1
오해하시,오해,-1
죽쑨,죽,-1
폭행하,폭행,-1
뚱뚱했,뚱뚱,-1
아찔하네,아찔,-1
너절한,너절,-1
상처,상처,-1
너저분한,너저분,-1
당해,당하,-1
격분했,격분,-1
쓰러질,쓰러지,-1
구속할,구속,-1
교활한,교활,-1
어이없,어이,-1
불안하,불안,-1
의심하는,의심,-1
우울함,우울,-1
절규하는,절규,-1
병들,병이,-1
망해,망하,-1
얼얼할,얼얼,-1
겁내,겁내,-1
조심하셨,조심,-1
갑갑한,갑갑,-1
저하되,저하,-1
방해하기,방해,-1
욕하는,욕하,-1
미숙했,미숙,-1
버겁네,버겁,-1
쑥스럽다,쑥스럽,-1
공격받을,공격,-1
부끄러워했,부끄러워하,-1
못볼,못하,-1
하소연,하소연,-1
화내는,화내,-1
탈진하는,탈진,-1
심란,심하,-1
무례했,무례,-1
꺼리,꺼리,-1
학대하는,학대,-1
힘들긴,힘들,-1
귀찮았,귀찮,-1
시기하,시기,-1
쓰라림,쓰라림,-1
앓았,앓,-1
굶었,굶,-1
싫어,싫어하,-1
요란하,요란,-1
후회한,후회,-1
침체되,침체,-1
못잤,못하,-1
고장나,고장나,-1
아니겠,아니하,-1
우려한,우려,-1
위험하긴,위험,-1
살벌하,살벌,-1
부러지는,부러지,-1
상했,상하,-1
거부했,거부,-1
우울하,우울,-1
섭섭,섭섭,-1
못생겼,못생기,-1
촌스럽,촌스럽,-1
씁쓸함,씁쓸,-1
소용없네,소용없,-1
탐났,탐하,-1
급할,급하,-1
혼란스럽,혼란,-1
지연,지연,-1
속상하다,속상하,-1
밋밋,밋밋,-1
저하시키,저하,-1
좌절된,좌절,-1
지긋지긋,지긋지긋하,-1
더욱 심해지는,더욱 심하,-1
처연하,처연,-1
낯설긴,낯설,-1
시시하단,시시,-1
소홀했,소홀,-1
괴로워했,괴로워하,-1
무시받,무시,-1
부인하는,부인,-1
나빠지,나빠지,-1
희롱한,희롱,-1
질투하겠,질투,-1
안쓰럽,안쓰럽,-1
쓸모없는,쓸모없,-1
불만족스럽죠,불만족,-1
멋없,멋없,-1
반발했,반발,-1
질색하,질색,-1
흥분하는,흥분,-1
열받은,열받,-1
억압받,억압,-1
위협한,위협,-1
조롱하,조롱,-1
부담스럽죠,부담,-1
불명예스러운,불명예,-1
빠트리,빠트리,-1
뻔뻔,뻔뻔,-1
힐난했,힐난,-1
초조한,초조,-1
불안하다,불안,-1
거슬리,거슬리,-1
구속,구속,-1
방치되,방치,-1
걱정된,걱정,-1
패배한,패배,-1
거절하,거절,-1
뒤틀리,뒤틀리,-1
상할,상하,-1
부서지네,부서지,-1
풀리지 않는,풀리 않,-1
빼앗기,빼앗기,-1
고전,고되,-1
울던,울,-1
반발한,반발,-1
우려됐,우려,-1
형편없었,형편없,-1
불리할,불리하,-1
삐딱한,삐딱,-1
부족하기,부족,-1
불행한,불행,-1
이상했,이상,-1
분했,분하,-1
걸리기,걸리,-1
밋밋했,밋밋,-1
싫어할,싫어하,-1
잃음,잃,-1
모호,모호,-1
얼얼한,얼얼,-1
부인하던,부인,-1
시기할,시기,-1
혐오하는,혐오,-1
맛없다,맛없,-1
서럽,서럽,-1
찡긋,찡하,-1
오싹했,오싹,-1
아니유,아니하,-1
쑤시는,쑤시,-1
한심한,한심,-1
상하,상하,-1
싫어졌,싫어하,-1
저하,저하,-1
틀리는,틀리,-1
좌절,좌절,-1
늦기,늦,-1
떠들썩한,떠들썩,-1
애쓰네,애쓰,-1
비웃어,비웃,-1
원하지 않는,원하 않,-1
태우는,태우,-1
금지되는,금지,-1
탄식한,탄식,-1
시달리던,시달리,-1
낯설어,낯설,-1
강탈할,강탈,-1
분하는,분하,-1
아무렇게나,아무렇,-1
게으르,게으르,-1
얼떨떨한,얼떨떨,-1
우려되,우려,-1
무모한,무모,-1
짖궂은,짖궂,-1
아슬아슬하,아슬아슬,-1
부담스럽나,부담,-1
이별,이별,-1
슬퍼하는,슬퍼하,-1
슬퍼하기,슬퍼하,-1
아쉬워할,아쉬워하,-1
더러워지,더러워지,-1
배척하,배척,-1
밋밋할,밋밋,-1
고생하셨,고생,-1
사양하는,사양,-1
경솔하,경솔,-1
경솔하다,경솔,-1
떨궜,떨,-1
만만찮은,만만찮,-1
빌어먹을,빌어먹,-1
성내는,성내,-1
훔치겠,훔치,-1
탓하기,탓하,-1
아쉬움,아쉬움,-1
부진,부진,-1
놀리기,놀리,-1
삭막,삭막,-1
과장됐,과장,-1
아니오,아니하,-1
막막했,막막,-1
싫을,싫,-1
침체됐,침체,-1
고생하시,고생,-1
초라,초라,-1
잘못됨,잘못하,-1
걱정하실,걱정,-1
울부짖음,울부짖,-1
울뻔,울,-1
부족함,부족,-1
거친,거치,-1
절제,절,-1
애석하,애석,-1
걸리겠,걸리,-1
비통한,비통,-1
자책,자책,-1
조롱하는,조롱,-1
부질없,부질없,-1
요란하다,요란,-1
꼴사납지,꼴사납,-1
고생,고생,-1
금지한,금지,-1
찝찝한,찝찝,-1
삐딱,삐딱,-1
미숙하,미숙,-1
중단할,중단,-1
찜찜한,찜찜,-1
무섭네,무섭,-1
못마땅,못마땅,-1
투덜대는,투덜대,-1
못낼,못하,-1
힘들게,힘들,-1
방치해,방치,-1
버려지,버리,-1
반대할,반대,-1
못하였,못하,-1
의기소침한,의기소침,-1
다그치는,다그치,-1
굶는,굶,-1
내쫓,내쫓,-1
불안했,불안,-1
애쓰는,애쓰,-1
부끄러워하,부끄러워하,-1
못먹,못하,-1
더럽긴,더럽,-1
시무룩하,시무룩,-1
썩은,썩이,-1
억울하겠,억울,-1
손상됐,손상,-1
기죽일,기죽,-1
식상,식상,-1
죽던,죽,-1
불편했,불편,-1
하소연했,하소연,-1
망쳤,망하,-1
살해하는,살해,-1
방탕한,방탕,-1
부족했,부족,-1
얼버무리,얼버무리,-1
깐깐하던,깐깐,-1
오해할,오해,-1
방치한,방치,-1
한심,한심,-1
악의적,악의,-1
못하네,못하,-1
쓸쓸하,쓸쓸,-1
뜨끔한,뜨끔,-1
외롭기,외롭,-1
당황해했,당황,-1
시시한,시시,-1
찡했,찡하,-1
못하셨,못하,-1
삭막한,삭막,-1
의기소침하,의기소침,-1
방치,방치,-1
패배,패배,-1
흥청거리는,흥청거리,-1
맛없,맛없,-1
경박,경박,-1
소름끼치,소름,-1
부끄러워하긴,부끄러워하,-1
식상한,식상,-1
아프다,아프,-1
씹었,씹,-1
부자연스럽,부자연,-1
만만치 않았,만만 않,-1
구속했,구속,-1
해고하는,해고,-1
해고했,해고,-1
무기력한,무기력,-1
해고됐,해고,-1
잘못,잘못,-1
비난받,비난,-1
따끔하,따끔,-1
너무하네,너무하,-1
비난하,비난,-1
악하다,악하,-1
살해,살해,-1
부진할,부진,-1
부추기는,부추기,-1
지겠,지,-1
짓밟,짓밟,-1
처참함,처참,-1
어수룩한,어수룩,-1
깐깐하,깐깐,-1
손상되는,손상,-1
위험하기,위험,-1
난폭한,난폭,-1
아까워,아까워하,-1
인색하,인색,-1
불리함,불리하,-1
얄밉,얄밉,-1
아쉬워,아쉬워하,-1
우려하,우려,-1
하찮,하찮,-1
거부하는,거부,-1
불안해하는,불안해하,-1
혼미한,혼미,-1
어긋나,어긋나,-1
낭비하,낭비,-1
어색해,어색,-1
앓을,앓,-1
해치우,해치,-1
멋쩍은,멋쩍,-1
쓸쓸하던,쓸쓸,-1
위축되,위축,-1
거부됐,거부,-1
어설픈,어설프,-1
슬프다,슬프,-1
실점,실점,-1
살벌하네,살벌,-1
잔인,잔인,-1
성급한,성급,-1
취약하,취약,-1
서투르,서투르,-1
늦어,늦,-1
못쓴,못하,-1
허둥지둥하던,허둥지둥,-1
부러뜨리는,부러뜨리,-1
거만하,거만,-1
